Using command-line arguments: 3, I
Self: Index player
Using these parameters as a base (some values will change in the exhaustive search):
[0.4, 0.3, 0.3, 0.35, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.01, 1.0, 0.01, 2.0, 10.0, 0.0, 6.0, 8.0, 14.0, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]
LinearDeadwoodPenaltyHE ParamLists are ready.
numIndividuals: 187. Correct number is: 187
=============== runExhaustiveTest ===============
gamesPerIndividual: 5000
========== Subset 0 ==========
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 
Subset 0 results:
----------------------------------------
Table of results: 
ID, p22, p23, winRate
93, 0.500000, 2.000000, 0.712
94, 0.500000, 2.250000, 0.723
95, 0.500000, 2.500000, 0.7362
96, 0.500000, 2.750000, 0.7254
97, 0.500000, 3.000000, 0.7312
98, 0.500000, 3.250000, 0.7334
99, 0.500000, 3.500000, 0.7244
100, 0.500000, 3.750000, 0.7216
101, 0.500000, 4.000000, 0.7174
102, 0.600000, 0.000000, 0.7284
103, 0.600000, 0.250000, 0.7274
104, 0.600000, 0.500000, 0.728
105, 0.600000, 0.750000, 0.7366
106, 0.600000, 1.000000, 0.7386
107, 0.600000, 1.250000, 0.7306
108, 0.600000, 1.500000, 0.7352
109, 0.600000, 1.750000, 0.7234
110, 0.600000, 2.000000, 0.7288
111, 0.600000, 2.250000, 0.7188
112, 0.600000, 2.500000, 0.7208
113, 0.600000, 2.750000, 0.7284
114, 0.600000, 3.000000, 0.7288
115, 0.600000, 3.250000, 0.721
116, 0.600000, 3.500000, 0.7228
117, 0.600000, 3.750000, 0.7262
118, 0.600000, 4.000000, 0.7348
119, 0.700000, 0.000000, 0.7166
120, 0.700000, 0.250000, 0.7184
121, 0.700000, 0.500000, 0.741
122, 0.700000, 0.750000, 0.726
123, 0.700000, 1.000000, 0.721
124, 0.700000, 1.250000, 0.7298
125, 0.700000, 1.500000, 0.725
126, 0.700000, 1.750000, 0.7402
127, 0.700000, 2.000000, 0.7366
128, 0.700000, 2.250000, 0.73
129, 0.700000, 2.500000, 0.7162
130, 0.700000, 2.750000, 0.7258
131, 0.700000, 3.000000, 0.7228
132, 0.700000, 3.250000, 0.7368
133, 0.700000, 3.500000, 0.7208
134, 0.700000, 3.750000, 0.7312
135, 0.700000, 4.000000, 0.7204
136, 0.800000, 0.000000, 0.7032
137, 0.800000, 0.250000, 0.7364
138, 0.800000, 0.500000, 0.7302
139, 0.800000, 0.750000, 0.7348
140, 0.800000, 1.000000, 0.7188
141, 0.800000, 1.250000, 0.7198
142, 0.800000, 1.500000, 0.7238
143, 0.800000, 1.750000, 0.7246
144, 0.800000, 2.000000, 0.7238
145, 0.800000, 2.250000, 0.7282
146, 0.800000, 2.500000, 0.731
147, 0.800000, 2.750000, 0.7262
148, 0.800000, 3.000000, 0.7264
149, 0.800000, 3.250000, 0.7368
150, 0.800000, 3.500000, 0.7306
151, 0.800000, 3.750000, 0.7208
152, 0.800000, 4.000000, 0.7252
153, 0.900000, 0.000000, 0.7162
154, 0.900000, 0.250000, 0.7242
155, 0.900000, 0.500000, 0.7232
156, 0.900000, 0.750000, 0.7282
157, 0.900000, 1.000000, 0.7248
158, 0.900000, 1.250000, 0.7268
159, 0.900000, 1.500000, 0.729
160, 0.900000, 1.750000, 0.7352
161, 0.900000, 2.000000, 0.7372
162, 0.900000, 2.250000, 0.7318
163, 0.900000, 2.500000, 0.7186
164, 0.900000, 2.750000, 0.731
165, 0.900000, 3.000000, 0.7322
166, 0.900000, 3.250000, 0.7266
167, 0.900000, 3.500000, 0.7262
168, 0.900000, 3.750000, 0.7226
169, 0.900000, 4.000000, 0.7246
170, 1.000000, 0.000000, 0.7256
171, 1.000000, 0.250000, 0.7302
172, 1.000000, 0.500000, 0.724
173, 1.000000, 0.750000, 0.7214
174, 1.000000, 1.000000, 0.7304
175, 1.000000, 1.250000, 0.7352
176, 1.000000, 1.500000, 0.7276
177, 1.000000, 1.750000, 0.7208
178, 1.000000, 2.000000, 0.7268
179, 1.000000, 2.250000, 0.7352
180, 1.000000, 2.500000, 0.7366
181, 1.000000, 2.750000, 0.7334
182, 1.000000, 3.000000, 0.7246
183, 1.000000, 3.250000, 0.7304
184, 1.000000, 3.500000, 0.7372
185, 1.000000, 3.750000, 0.7314
186, 1.000000, 4.000000, 0.7272
----------------------------------------
Learned parameters: 
22: 0.3
23: 2.0
All parameters:
[0.4, 0.3, 0.3, 0.35, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.3, 2.0, 0.01, 2.0, 10.0, 0.0, 6.0, 8.0, 14.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]
