ID,p22,p23,winRate
160, 0.900000, 1.750000, 0.7316
161, 0.900000, 2.000000, 0.7282
162, 0.900000, 2.250000, 0.7152
163, 0.900000, 2.500000, 0.741
164, 0.900000, 2.750000, 0.7314
165, 0.900000, 3.000000, 0.7424
166, 0.900000, 3.250000, 0.7194
167, 0.900000, 3.500000, 0.7316
168, 0.900000, 3.750000, 0.719
169, 0.900000, 4.000000, 0.7244
170, 1.000000, 0.000000, 0.7204
171, 1.000000, 0.250000, 0.7374
172, 1.000000, 0.500000, 0.7266
173, 1.000000, 0.750000, 0.727
174, 1.000000, 1.000000, 0.7316
175, 1.000000, 1.250000, 0.7318
176, 1.000000, 1.500000, 0.7238
177, 1.000000, 1.750000, 0.7262
178, 1.000000, 2.000000, 0.7302
179, 1.000000, 2.250000, 0.7338
180, 1.000000, 2.500000, 0.7382
181, 1.000000, 2.750000, 0.7256
182, 1.000000, 3.000000, 0.7382
183, 1.000000, 3.250000, 0.7166
184, 1.000000, 3.500000, 0.7474
185, 1.000000, 3.750000, 0.7292
186, 1.000000, 4.000000, 0.7272
