ID,p0,p1,p2,winRate
0, 0.000000, 0.500000, 0.500000, 0.7408
1, 0.000000, 0.600000, 0.400000, 0.7226
2, 0.000000, 0.700000, 0.300000, 0.728
3, 0.000000, 0.800000, 0.200000, 0.7284
4, 0.000000, 0.900000, 0.100000, 0.7116
5, 0.000000, 1.000000, 0.000000, 0.7282
6, 0.100000, 0.500000, 0.400000, 0.7332
7, 0.100000, 0.600000, 0.300000, 0.7154
8, 0.100000, 0.700000, 0.200000, 0.734
9, 0.100000, 0.800000, 0.100000, 0.734
10, 0.100000, 0.900000, 0.000000, 0.7274
11, 0.200000, 0.400000, 0.400000, 0.7278
12, 0.200000, 0.500000, 0.300000, 0.7412
13, 0.200000, 0.600000, 0.200000, 0.7356
14, 0.200000, 0.700000, 0.100000, 0.7362
15, 0.200000, 0.800000, 0.000000, 0.7202
16, 0.300000, 0.400000, 0.300000, 0.7392
17, 0.300000, 0.500000, 0.200000, 0.7336
18, 0.300000, 0.600000, 0.100000, 0.7332
19, 0.300000, 0.700000, 0.000000, 0.7256
20, 0.400000, 0.300000, 0.300000, 0.7378
21, 0.400000, 0.400000, 0.200000, 0.7252
22, 0.400000, 0.500000, 0.100000, 0.7286
23, 0.400000, 0.600000, 0.000000, 0.7234
24, 0.500000, 0.300000, 0.200000, 0.733
25, 0.500000, 0.400000, 0.100000, 0.734
26, 0.500000, 0.500000, 0.000000, 0.7176
27, 0.600000, 0.200000, 0.200000, 0.7358
28, 0.600000, 0.300000, 0.100000, 0.7434
29, 0.600000, 0.400000, 0.000000, 0.71
30, 0.700000, 0.200000, 0.100000, 0.727
31, 0.700000, 0.300000, 0.000000, 0.716
32, 0.800000, 0.100000, 0.100000, 0.7348
33, 1.000000, 0.000000, 0.000000, 0.6924
