Using command-line arguments: 6, I
Self: Index player
Ensemble weight ParamLists are ready.
numIndividuals: 3003. Correct number is: 3003
=============== runExhaustiveTest ===============
gamesPerIndividual: 5000
----------------------------------------
Table of results: 
ID, p31, p32, p33, p34, p35, p36, winRate
70, 0.000000, 0.000000, 0.100000, 0.000000, 0.400000, 0.500000, 0.6584
71, 0.000000, 0.000000, 0.100000, 0.000000, 0.500000, 0.400000, 0.6794
72, 0.000000, 0.000000, 0.100000, 0.000000, 0.600000, 0.300000, 0.6806
73, 0.000000, 0.000000, 0.100000, 0.000000, 0.700000, 0.200000, 0.6554
74, 0.000000, 0.000000, 0.100000, 0.000000, 0.800000, 0.100000, 0.6844
75, 0.000000, 0.000000, 0.100000, 0.000000, 0.900000, 0.000000, 0.6692
76, 0.000000, 0.000000, 0.100000, 0.100000, 0.000000, 0.800000, 0.7278
77, 0.000000, 0.000000, 0.100000, 0.100000, 0.100000, 0.700000, 0.7206
78, 0.000000, 0.000000, 0.100000, 0.100000, 0.200000, 0.600000, 0.714
79, 0.000000, 0.000000, 0.100000, 0.100000, 0.300000, 0.500000, 0.716
80, 0.000000, 0.000000, 0.100000, 0.100000, 0.400000, 0.400000, 0.713
81, 0.000000, 0.000000, 0.100000, 0.100000, 0.500000, 0.300000, 0.7166
82, 0.000000, 0.000000, 0.100000, 0.100000, 0.600000, 0.200000, 0.7152
83, 0.000000, 0.000000, 0.100000, 0.100000, 0.700000, 0.100000, 0.71
84, 0.000000, 0.000000, 0.100000, 0.100000, 0.800000, 0.000000, 0.7094
85, 0.000000, 0.000000, 0.100000, 0.200000, 0.000000, 0.700000, 0.7132
86, 0.000000, 0.000000, 0.100000, 0.200000, 0.100000, 0.600000, 0.7334
87, 0.000000, 0.000000, 0.100000, 0.200000, 0.200000, 0.500000, 0.7298
88, 0.000000, 0.000000, 0.100000, 0.200000, 0.300000, 0.400000, 0.7248
89, 0.000000, 0.000000, 0.100000, 0.200000, 0.400000, 0.300000, 0.7228
90, 0.000000, 0.000000, 0.100000, 0.200000, 0.500000, 0.200000, 0.7246
91, 0.000000, 0.000000, 0.100000, 0.200000, 0.600000, 0.100000, 0.7232
92, 0.000000, 0.000000, 0.100000, 0.200000, 0.700000, 0.000000, 0.7292
93, 0.000000, 0.000000, 0.100000, 0.300000, 0.000000, 0.600000, 0.7226
94, 0.000000, 0.000000, 0.100000, 0.300000, 0.100000, 0.500000, 0.7208
95, 0.000000, 0.000000, 0.100000, 0.300000, 0.200000, 0.400000, 0.718
96, 0.000000, 0.000000, 0.100000, 0.300000, 0.300000, 0.300000, 0.7308
97, 0.000000, 0.000000, 0.100000, 0.300000, 0.400000, 0.200000, 0.731
98, 0.000000, 0.000000, 0.100000, 0.300000, 0.500000, 0.100000, 0.7214
99, 0.000000, 0.000000, 0.100000, 0.300000, 0.600000, 0.000000, 0.7298
100, 0.000000, 0.000000, 0.100000, 0.400000, 0.000000, 0.500000, 0.7276
101, 0.000000, 0.000000, 0.100000, 0.400000, 0.100000, 0.400000, 0.731
102, 0.000000, 0.000000, 0.100000, 0.400000, 0.200000, 0.300000, 0.7314
103, 0.000000, 0.000000, 0.100000, 0.400000, 0.300000, 0.200000, 0.729
104, 0.000000, 0.000000, 0.100000, 0.400000, 0.400000, 0.100000, 0.7318
