ID,p22,p23,winRate
0, 0.000000, 0.000000, 0.6818
1, 0.000000, 0.250000, 0.7
2, 0.000000, 0.500000, 0.6966
3, 0.000000, 0.750000, 0.6914
4, 0.000000, 1.000000, 0.685
5, 0.000000, 1.250000, 0.6986
6, 0.000000, 1.500000, 0.6966
7, 0.000000, 1.750000, 0.6896
8, 0.000000, 2.000000, 0.6916
9, 0.000000, 2.250000, 0.7062
10, 0.000000, 2.500000, 0.6912
11, 0.000000, 2.750000, 0.6924
12, 0.000000, 3.000000, 0.6806
13, 0.000000, 3.250000, 0.6906
14, 0.000000, 3.500000, 0.704
15, 0.000000, 3.750000, 0.6926
16, 0.000000, 4.000000, 0.707
17, 0.100000, 0.000000, 0.7178
18, 0.100000, 0.250000, 0.7246
19, 0.100000, 0.500000, 0.7246
20, 0.100000, 0.750000, 0.7258
21, 0.100000, 1.000000, 0.7332
22, 0.100000, 1.250000, 0.739
23, 0.100000, 1.500000, 0.7242
24, 0.100000, 1.750000, 0.7358
25, 0.100000, 2.000000, 0.7344
26, 0.100000, 2.250000, 0.7284
27, 0.100000, 2.500000, 0.7358
28, 0.100000, 2.750000, 0.7346
29, 0.100000, 3.000000, 0.7374
30, 0.100000, 3.250000, 0.7392
31, 0.100000, 3.500000, 0.728
32, 0.100000, 3.750000, 0.7304
33, 0.100000, 4.000000, 0.7374
34, 0.200000, 0.000000, 0.7094
35, 0.200000, 0.250000, 0.733
36, 0.200000, 0.500000, 0.717
37, 0.200000, 0.750000, 0.7264
38, 0.200000, 1.000000, 0.7398
39, 0.200000, 1.250000, 0.7436
40, 0.200000, 1.500000, 0.7494
41, 0.200000, 1.750000, 0.7354
42, 0.200000, 2.000000, 0.7334
43, 0.200000, 2.250000, 0.745
44, 0.200000, 2.500000, 0.7364
45, 0.200000, 2.750000, 0.7288
46, 0.200000, 3.000000, 0.7378
47, 0.200000, 3.250000, 0.739
48, 0.200000, 3.500000, 0.7424
49, 0.200000, 3.750000, 0.7302
50, 0.200000, 4.000000, 0.7312
51, 0.300000, 0.000000, 0.7198
52, 0.300000, 0.250000, 0.7438
53, 0.300000, 0.500000, 0.7404
54, 0.300000, 0.750000, 0.7364
55, 0.300000, 1.000000, 0.7308
56, 0.300000, 1.250000, 0.7314
57, 0.300000, 1.500000, 0.7256
58, 0.300000, 1.750000, 0.7364
59, 0.300000, 2.000000, 0.7326
60, 0.300000, 2.250000, 0.7314
61, 0.300000, 2.500000, 0.7316
62, 0.300000, 2.750000, 0.7418
63, 0.300000, 3.000000, 0.7376
64, 0.300000, 3.250000, 0.7258
65, 0.300000, 3.500000, 0.7282
