ID,p3,p4,p5,p6,winRate
0, 0.000000, 0.000000, 0.000000, 1.000000, 0.6556666666666666
1, 0.000000, 0.000000, 0.100000, 0.900000, 0.6636666666666666
2, 0.000000, 0.000000, 0.200000, 0.800000, 0.6536666666666666
3, 0.000000, 0.000000, 0.300000, 0.700000, 0.681
4, 0.000000, 0.000000, 0.400000, 0.600000, 0.6693333333333333
5, 0.000000, 0.000000, 0.500000, 0.500000, 0.6526666666666666
6, 0.000000, 0.000000, 0.600000, 0.400000, 0.6593333333333333
7, 0.000000, 0.000000, 0.700000, 0.300000, 0.652
8, 0.000000, 0.000000, 0.800000, 0.200000, 0.643
9, 0.000000, 0.000000, 0.900000, 0.100000, 0.6376666666666667
10, 0.000000, 0.000000, 1.000000, 0.000000, 0.6063333333333333
11, 0.000000, 0.100000, 0.000000, 1.000000, 0.642
12, 0.000000, 0.100000, 0.100000, 0.900000, 0.654
13, 0.000000, 0.100000, 0.200000, 0.800000, 0.661
14, 0.000000, 0.100000, 0.300000, 0.700000, 0.6656666666666666
15, 0.000000, 0.100000, 0.400000, 0.600000, 0.662
16, 0.000000, 0.100000, 0.500000, 0.500000, 0.6666666666666666
17, 0.000000, 0.100000, 0.600000, 0.400000, 0.6523333333333333
18, 0.000000, 0.100000, 0.700000, 0.300000, 0.6553333333333333
19, 0.000000, 0.100000, 0.800000, 0.200000, 0.637
20, 0.000000, 0.100000, 0.900000, 0.100000, 0.636
21, 0.000000, 0.100000, 1.000000, 0.000000, 0.6313333333333333
22, 0.000000, 0.200000, 0.000000, 1.000000, 0.659
23, 0.000000, 0.200000, 0.100000, 0.900000, 0.6603333333333333
24, 0.000000, 0.200000, 0.200000, 0.800000, 0.6463333333333333
25, 0.000000, 0.200000, 0.300000, 0.700000, 0.6536666666666666
26, 0.000000, 0.200000, 0.400000, 0.600000, 0.6773333333333333
27, 0.000000, 0.200000, 0.500000, 0.500000, 0.6656666666666666
28, 0.000000, 0.200000, 0.600000, 0.400000, 0.649
29, 0.000000, 0.200000, 0.700000, 0.300000, 0.6763333333333333
30, 0.000000, 0.200000, 0.800000, 0.200000, 0.6456666666666667
31, 0.000000, 0.200000, 0.900000, 0.100000, 0.6453333333333333
32, 0.000000, 0.200000, 1.000000, 0.000000, 0.62
33, 0.000000, 0.300000, 0.000000, 1.000000, 0.6576666666666666
34, 0.000000, 0.300000, 0.100000, 0.900000, 0.6603333333333333
35, 0.000000, 0.300000, 0.200000, 0.800000, 0.658
36, 0.000000, 0.300000, 0.300000, 0.700000, 0.684
37, 0.000000, 0.300000, 0.400000, 0.600000, 0.6783333333333333
38, 0.000000, 0.300000, 0.500000, 0.500000, 0.6676666666666666
39, 0.000000, 0.300000, 0.600000, 0.400000, 0.67
40, 0.000000, 0.300000, 0.700000, 0.300000, 0.649
41, 0.000000, 0.300000, 0.800000, 0.200000, 0.6486666666666666
42, 0.000000, 0.300000, 0.900000, 0.100000, 0.6386666666666667
43, 0.000000, 0.300000, 1.000000, 0.000000, 0.622
44, 0.000000, 0.400000, 0.000000, 1.000000, 0.6336666666666667
45, 0.000000, 0.400000, 0.100000, 0.900000, 0.647
46, 0.000000, 0.400000, 0.200000, 0.800000, 0.6506666666666666
47, 0.000000, 0.400000, 0.300000, 0.700000, 0.6726666666666666
48, 0.000000, 0.400000, 0.400000, 0.600000, 0.66
49, 0.000000, 0.400000, 0.500000, 0.500000, 0.669
50, 0.000000, 0.400000, 0.600000, 0.400000, 0.675
51, 0.000000, 0.400000, 0.700000, 0.300000, 0.638
52, 0.000000, 0.400000, 0.800000, 0.200000, 0.652
53, 0.000000, 0.400000, 0.900000, 0.100000, 0.6496666666666666
54, 0.000000, 0.400000, 1.000000, 0.000000, 0.6233333333333333
55, 0.000000, 0.500000, 0.000000, 1.000000, 0.6476666666666666
56, 0.000000, 0.500000, 0.100000, 0.900000, 0.6503333333333333
57, 0.000000, 0.500000, 0.200000, 0.800000, 0.658
58, 0.000000, 0.500000, 0.300000, 0.700000, 0.674
59, 0.000000, 0.500000, 0.400000, 0.600000, 0.6646666666666666
60, 0.000000, 0.500000, 0.500000, 0.500000, 0.665
61, 0.000000, 0.500000, 0.600000, 0.400000, 0.6606666666666666
62, 0.000000, 0.500000, 0.700000, 0.300000, 0.6453333333333333
63, 0.000000, 0.500000, 0.800000, 0.200000, 0.656
64, 0.000000, 0.500000, 0.900000, 0.100000, 0.6343333333333333
65, 0.000000, 0.500000, 1.000000, 0.000000, 0.613
66, 0.000000, 0.600000, 0.000000, 1.000000, 0.6646666666666666
67, 0.000000, 0.600000, 0.100000, 0.900000, 0.6563333333333333
68, 0.000000, 0.600000, 0.200000, 0.800000, 0.6636666666666666
69, 0.000000, 0.600000, 0.300000, 0.700000, 0.6873333333333334
70, 0.000000, 0.600000, 0.400000, 0.600000, 0.6703333333333333
71, 0.000000, 0.600000, 0.500000, 0.500000, 0.6726666666666666
