rankOfMeld1,isRun1,isRank1,length1,rankOfMeld2,isRun2,isRank2,length2,rankOfMeld3,isRun3,isRank3,length3,selfDeadwoodPoints,numTurn,multiOppScore,finalScore
8.0,1.0,0.0,5.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,2.7855622187233067,14.0
8.0,1.0,0.0,5.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,12.0,2.8232980440743285,14.0
8.0,1.0,0.0,5.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,14.0,2.848652905442444,14.0
7.0,1.0,0.0,3.0,10.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,2.0,16.0,0.5961345863996264,17.0
7.0,1.0,0.0,6.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,18.0,2.4063270039847757,13.0
10.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,2.0,4.0,19.34343877193981,31.0
10.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,2.0,6.0,17.63755383606794,31.0
10.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,2.0,8.0,10.481773708653332,15.0
10.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,2.0,10.0,11.825056398066009,15.0
10.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,2.0,12.0,19.015538665029805,6.0
10.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,2.0,14.0,-5.618791401629067,6.0
10.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,2.0,16.0,-16.762274871306104,-25.0
10.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,1.0,18.0,0.6748962540003879,1.0
0.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,4.0,13.0,13.119167967209714,3.0
0.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,4.0,15.0,19.090699168031236,3.0
0.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,6.0,17.0,17.055743887181272,1.0
0.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,6.0,19.0,13.155020946255163,1.0
