rankOfMeld1,isRun1,isRank1,length1,rankOfMeld2,isRun2,isRank2,length2,rankOfMeld3,isRun3,isRank3,length3,selfDeadwoodPoints,numTurn,multiOppScore,finalScore
0.3333333333333333,1.0,0.0,0.6,0.3333333333333333,0.0,1.0,0.6,1.0,0.0,1.0,0.6,0.1,0.4318181818181818,0.6608639129445493,0.6338028169014085
0.3333333333333333,1.0,0.0,0.6,0.3333333333333333,0.0,1.0,0.6,1.0,0.0,1.0,0.6,0.1,0.4772727272727273,0.610920237077269,0.6338028169014085
0.3333333333333333,1.0,0.0,0.6,0.3333333333333333,0.0,1.0,0.6,1.0,0.0,1.0,0.6,0.1,0.5227272727272727,0.48982067065704293,0.6338028169014085
0.9166666666666666,0.0,1.0,0.8,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.7,0.5,0.6217169844649179,0.09859154929577464
0.9166666666666666,0.0,1.0,0.8,0.08333333333333333,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.8,0.20454545454545456,0.570000813469678,1.0704225352112675
0.08333333333333333,0.0,1.0,0.8,0.9166666666666666,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.2,0.25,0.5656461981007858,1.0140845070422535
0.25,0.0,1.0,0.6,0.5833333333333334,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.8,0.6363636363636364,0.08428666989379897,0.5492957746478874
0.25,0.0,1.0,0.6,0.5833333333333334,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.8,0.6818181818181818,0.17375468250652387,0.1267605633802817
0.08333333333333333,1.0,0.0,0.6,0.25,0.0,1.0,0.6,0.5833333333333334,0.0,1.0,0.6,0.1,0.7272727272727273,0.7636901617407486,0.5774647887323944
0.08333333333333333,1.0,0.0,0.6,0.3333333333333333,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.8,0.3409090909090909,0.5911548487670764,0.07042253521126761
0.08333333333333333,1.0,0.0,0.6,0.3333333333333333,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.8,0.38636363636363635,0.410365803908852,0.07042253521126761
0.3333333333333333,0.0,1.0,0.8,0.08333333333333333,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.4318181818181818,0.43420140274405994,0.1267605633802817
0.3333333333333333,0.0,1.0,0.8,0.08333333333333333,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.4772727272727273,0.4478215497850494,0.1267605633802817
0.0,1.0,0.0,0.8,0.4166666666666667,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.7,0.3181818181818182,0.9092493068461679,0.1267605633802817
0.0,1.0,0.0,1.0,0.4166666666666667,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.4,0.36363636363636365,0.9567917270923575,0.5492957746478874
0.0,1.0,0.0,0.6,0.5,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.9,0.4090909090909091,0.16216487196511895,0.6197183098591549
0.0,1.0,0.0,0.6,0.5,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.9,0.45454545454545453,0.1617725120200476,0.6197183098591549
0.0,0.0,1.0,0.6,0.16666666666666666,0.0,1.0,0.6,0.5,0.0,1.0,0.6,0.2,0.5,0.6185346966386661,0.704225352112676
0.0,0.0,1.0,0.6,0.16666666666666666,0.0,1.0,0.6,0.5,0.0,1.0,0.6,0.2,0.5454545454545454,0.6850939137923295,0.5211267605633803
0.0,1.0,0.0,0.6,0.0,1.0,0.0,0.6,0.5,0.0,1.0,0.6,0.1,0.5909090909090909,0.6169367048096882,0.5492957746478874
0.0,1.0,0.0,0.6,0.0,1.0,0.0,0.6,0.5,0.0,1.0,0.6,0.2,0.6363636363636364,0.636480808280008,0.5492957746478874
0.08333333333333333,0.0,1.0,0.6,0.16666666666666666,0.0,1.0,0.6,0.5,0.0,1.0,0.6,0.1,0.6818181818181818,0.5946810444011043,0.14084507042253522
0.08333333333333333,0.0,1.0,0.6,0.16666666666666666,0.0,1.0,0.6,0.5,0.0,1.0,0.6,0.1,0.7272727272727273,0.5978307404040265,0.14084507042253522
0.08333333333333333,0.0,1.0,0.6,0.16666666666666666,0.0,1.0,0.6,0.5,0.0,1.0,0.6,0.1,0.7727272727272727,0.599956893527767,0.14084507042253522
0.8333333333333334,0.0,1.0,0.8,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,1.0,0.3409090909090909,0.34187528266703887,0.6197183098591549
0.8333333333333334,0.0,1.0,0.8,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,1.0,0.38636363636363635,0.31881789496605306,0.5352112676056338
0.8333333333333334,1.0,0.0,0.6,0.25,0.0,1.0,0.6,0.5,0.0,1.0,0.6,0.3,0.5,0.835191416588703,0.1267605633802817
0.8333333333333334,1.0,0.0,0.6,0.25,0.0,1.0,0.6,0.5,0.0,1.0,0.6,0.2,0.5454545454545454,0.8084412798266899,0.14084507042253522
0.16666666666666666,0.0,1.0,0.6,0.3333333333333333,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.9,0.6136363636363636,0.5266957584980062,0.5352112676056338
0.08333333333333333,1.0,0.0,0.6,0.3333333333333333,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.9,0.6590909090909091,0.5615038184646136,0.056338028169014086
0.08333333333333333,1.0,0.0,0.6,0.3333333333333333,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.9,0.7045454545454546,0.4405347183306532,0.056338028169014086
