Using command-line arguments: 3, E
Self: Ensemble player
Using these parameters as a base (some values will change in the exhaustive search):
[0.4, 0.4, 0.2, 0.35, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.0, 2.75, 0.0, 0.25, 10.0, 0.0, 6.0, 8.0, 14.0, 0.19999999999999998, 0.5000000000000001, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.0]
gamesPerIndividual: 5000
========== Subset 0 ==========
First paramlist (row 0): p22: 0.0  p23: 0.0  
Last paramlist (row 186): p22: 1.0  p23: 4.0  
Size: 187
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 
Subset 0 results:
----------------------------------------
Table of results: 
ID, p22, p23, winRate
0, 0.000000, 0.000000, 0.718
1, 0.000000, 0.250000, 0.7132
2, 0.000000, 0.500000, 0.725
3, 0.000000, 0.750000, 0.7258
4, 0.000000, 1.000000, 0.7164
5, 0.000000, 1.250000, 0.73
6, 0.000000, 1.500000, 0.729
7, 0.000000, 1.750000, 0.7142
8, 0.000000, 2.000000, 0.7268
9, 0.000000, 2.250000, 0.727
10, 0.000000, 2.500000, 0.7108
11, 0.000000, 2.750000, 0.7338
12, 0.000000, 3.000000, 0.723
13, 0.000000, 3.250000, 0.7328
14, 0.000000, 3.500000, 0.7216
15, 0.000000, 3.750000, 0.7234
16, 0.000000, 4.000000, 0.7232
17, 0.100000, 0.000000, 0.7044
18, 0.100000, 0.250000, 0.6962
19, 0.100000, 0.500000, 0.6826
20, 0.100000, 0.750000, 0.6566
21, 0.100000, 1.000000, 0.5916
22, 0.100000, 1.250000, 0.5372
23, 0.100000, 1.500000, 0.5036
24, 0.100000, 1.750000, 0.4842
25, 0.100000, 2.000000, 0.455
26, 0.100000, 2.250000, 0.4598
27, 0.100000, 2.500000, 0.4586
28, 0.100000, 2.750000, 0.4612
29, 0.100000, 3.000000, 0.4574
30, 0.100000, 3.250000, 0.4564
31, 0.100000, 3.500000, 0.4454
32, 0.100000, 3.750000, 0.4502
33, 0.100000, 4.000000, 0.4678
34, 0.200000, 0.000000, 0.6902
35, 0.200000, 0.250000, 0.656
36, 0.200000, 0.500000, 0.6382
37, 0.200000, 0.750000, 0.5864
38, 0.200000, 1.000000, 0.554
39, 0.200000, 1.250000, 0.5164
40, 0.200000, 1.500000, 0.4956
41, 0.200000, 1.750000, 0.4824
42, 0.200000, 2.000000, 0.479
43, 0.200000, 2.250000, 0.4672
44, 0.200000, 2.500000, 0.4574
45, 0.200000, 2.750000, 0.473
46, 0.200000, 3.000000, 0.4652
47, 0.200000, 3.250000, 0.4572
48, 0.200000, 3.500000, 0.4588
49, 0.200000, 3.750000, 0.458
50, 0.200000, 4.000000, 0.469
51, 0.300000, 0.000000, 0.6858
52, 0.300000, 0.250000, 0.6246
53, 0.300000, 0.500000, 0.5888
54, 0.300000, 0.750000, 0.546
55, 0.300000, 1.000000, 0.5144
56, 0.300000, 1.250000, 0.5014
57, 0.300000, 1.500000, 0.4902
58, 0.300000, 1.750000, 0.4826
59, 0.300000, 2.000000, 0.4702
60, 0.300000, 2.250000, 0.4736
61, 0.300000, 2.500000, 0.4826
62, 0.300000, 2.750000, 0.468
63, 0.300000, 3.000000, 0.4686
64, 0.300000, 3.250000, 0.4688
65, 0.300000, 3.500000, 0.4708
66, 0.300000, 3.750000, 0.4646
67, 0.300000, 4.000000, 0.4778
68, 0.400000, 0.000000, 0.6768
69, 0.400000, 0.250000, 0.606
70, 0.400000, 0.500000, 0.563
71, 0.400000, 0.750000, 0.5382
