ID,p0,p1,p2,winRate
0,0.0,0.5,0.5,0.7148
1,0.0,0.6,0.4,0.6992
2,0.0,0.7,0.3,0.7070000000000001
3,0.0,0.8,0.2,0.6884
4,0.0,0.9,0.1,0.6884
5,0.0,1.0,0.0,0.696
6,0.1,0.5,0.4,0.7152
7,0.1,0.6,0.3,0.7102
8,0.1,0.7,0.2,0.7154
9,0.1,0.8,0.1,0.7084
10,0.1,0.9,0.0,0.7182
11,0.2,0.4,0.4,0.7044
12,0.2,0.5,0.3,0.7064
13,0.2,0.6,0.2,0.7164
14,0.2,0.7,0.1,0.7134
15,0.2,0.8,0.0,0.7016
16,0.3,0.4,0.3,0.7272
17,0.3,0.5,0.2,0.7186
18,0.3,0.6,0.1,0.7202
19,0.3,0.7,0.0,0.7236
20,0.4,0.3,0.3,0.732
21,0.4,0.4,0.2,0.7344
22,0.4,0.5,0.1,0.7156
23,0.4,0.6,0.0,0.73
24,0.5,0.3,0.2,0.7266
25,0.5,0.4,0.1,0.7204
26,0.5,0.5,0.0,0.7206
27,0.6,0.2,0.2,0.7208
28,0.6,0.3,0.1,0.72
29,0.6,0.4,0.0,0.7186
30,0.7,0.2,0.1,0.7216
31,0.7,0.3,0.0,0.7064
32,0.8,0.1,0.1,0.7162
33,1.0,0.0,0.0,0.6968
