ID,p31,p32,p33,p34,p35,p36,winRate
0,0.0,0.0,0.0,0.0,0.0,1.0,0.6662
1,0.0,0.0,0.0,0.0,0.1,0.9,0.6756
2,0.0,0.0,0.0,0.0,0.2,0.8,0.6798
3,0.0,0.0,0.0,0.0,0.3,0.7,0.6758
4,0.0,0.0,0.0,0.0,0.4,0.6,0.679
5,0.0,0.0,0.0,0.0,0.5,0.5,0.6866
6,0.0,0.0,0.0,0.0,0.6,0.4,0.6596
7,0.0,0.0,0.0,0.0,0.7,0.3,0.6758
8,0.0,0.0,0.0,0.0,0.8,0.2,0.6679999999999999
9,0.0,0.0,0.0,0.0,0.9,0.1,0.6498
10,0.0,0.0,0.0,0.0,1.0,0.0,0.6712
11,0.0,0.0,0.0,0.1,0.0,0.9,0.7302
12,0.0,0.0,0.0,0.1,0.1,0.8,0.7192
13,0.0,0.0,0.0,0.1,0.2,0.7,0.715
14,0.0,0.0,0.0,0.1,0.3,0.6,0.7242
15,0.0,0.0,0.0,0.1,0.4,0.5,0.7078
16,0.0,0.0,0.0,0.1,0.5,0.4,0.711
17,0.0,0.0,0.0,0.1,0.6,0.3,0.7154
18,0.0,0.0,0.0,0.1,0.7,0.2,0.7338
19,0.0,0.0,0.0,0.1,0.8,0.1,0.7164
20,0.0,0.0,0.0,0.1,0.9,0.0,0.7174
21,0.0,0.0,0.0,0.2,0.0,0.8,0.7190000000000001
22,0.0,0.0,0.0,0.2,0.1,0.7,0.7054
23,0.0,0.0,0.0,0.2,0.2,0.6,0.7086
24,0.0,0.0,0.0,0.2,0.3,0.5,0.7192
25,0.0,0.0,0.0,0.2,0.4,0.4,0.7094
26,0.0,0.0,0.0,0.2,0.5,0.3,0.7170000000000001
27,0.0,0.0,0.0,0.2,0.6,0.2,0.722
28,0.0,0.0,0.0,0.2,0.7,0.1,0.7124
29,0.0,0.0,0.0,0.2,0.8,0.0,0.7266
30,0.0,0.0,0.0,0.3,0.0,0.7,0.7026
31,0.0,0.0,0.0,0.3,0.1,0.6,0.6968
32,0.0,0.0,0.0,0.3,0.2,0.5,0.7062
33,0.0,0.0,0.0,0.3,0.3,0.4,0.7046
34,0.0,0.0,0.0,0.3,0.4,0.3,0.7
35,0.0,0.0,0.0,0.3,0.5,0.2,0.6958
36,0.0,0.0,0.0,0.3,0.6,0.1,0.6990000000000001
37,0.0,0.0,0.0,0.3,0.7,0.0,0.693
38,0.0,0.0,0.0,0.4,0.0,0.6,0.6796
39,0.0,0.0,0.0,0.4,0.1,0.5,0.6759999999999999
40,0.0,0.0,0.0,0.4,0.2,0.4,0.67
41,0.0,0.0,0.0,0.4,0.3,0.3,0.664
