ID,p3,p4,p5,p6,winRate
0, 0.000000, 0.000000, 0.000000, 1.000000, 0.6994
1, 0.000000, 0.000000, 0.100000, 0.900000, 0.7002
2, 0.000000, 0.000000, 0.200000, 0.800000, 0.711
3, 0.000000, 0.000000, 0.300000, 0.700000, 0.7106
4, 0.000000, 0.000000, 0.400000, 0.600000, 0.7104
5, 0.000000, 0.000000, 0.500000, 0.500000, 0.7094
6, 0.000000, 0.000000, 0.600000, 0.400000, 0.7012
7, 0.000000, 0.000000, 0.700000, 0.300000, 0.7006
8, 0.000000, 0.000000, 0.800000, 0.200000, 0.6886
9, 0.000000, 0.000000, 0.900000, 0.100000, 0.683
10, 0.000000, 0.000000, 1.000000, 0.000000, 0.6704
11, 0.000000, 0.100000, 0.000000, 1.000000, 0.7032
12, 0.000000, 0.100000, 0.100000, 0.900000, 0.7184
13, 0.000000, 0.100000, 0.200000, 0.800000, 0.7064
14, 0.000000, 0.100000, 0.300000, 0.700000, 0.7194
15, 0.000000, 0.100000, 0.400000, 0.600000, 0.713
16, 0.000000, 0.100000, 0.500000, 0.500000, 0.7282
17, 0.000000, 0.100000, 0.600000, 0.400000, 0.7232
18, 0.000000, 0.100000, 0.700000, 0.300000, 0.7
19, 0.000000, 0.100000, 0.800000, 0.200000, 0.694
20, 0.000000, 0.100000, 0.900000, 0.100000, 0.6898
21, 0.000000, 0.100000, 1.000000, 0.000000, 0.6724
22, 0.000000, 0.200000, 0.000000, 1.000000, 0.6982
23, 0.000000, 0.200000, 0.100000, 0.900000, 0.716
24, 0.000000, 0.200000, 0.200000, 0.800000, 0.7096
25, 0.000000, 0.200000, 0.300000, 0.700000, 0.728
26, 0.000000, 0.200000, 0.400000, 0.600000, 0.723
27, 0.000000, 0.200000, 0.500000, 0.500000, 0.7272
28, 0.000000, 0.200000, 0.600000, 0.400000, 0.719
29, 0.000000, 0.200000, 0.700000, 0.300000, 0.7014
30, 0.000000, 0.200000, 0.800000, 0.200000, 0.6966
31, 0.000000, 0.200000, 0.900000, 0.100000, 0.6792
32, 0.000000, 0.200000, 1.000000, 0.000000, 0.6694
33, 0.000000, 0.300000, 0.000000, 1.000000, 0.7122
34, 0.000000, 0.300000, 0.100000, 0.900000, 0.705
35, 0.000000, 0.300000, 0.200000, 0.800000, 0.7152
36, 0.000000, 0.300000, 0.300000, 0.700000, 0.7166
37, 0.000000, 0.300000, 0.400000, 0.600000, 0.7262
38, 0.000000, 0.300000, 0.500000, 0.500000, 0.7176
39, 0.000000, 0.300000, 0.600000, 0.400000, 0.7176
40, 0.000000, 0.300000, 0.700000, 0.300000, 0.7086
41, 0.000000, 0.300000, 0.800000, 0.200000, 0.6842
42, 0.000000, 0.300000, 0.900000, 0.100000, 0.683
43, 0.000000, 0.300000, 1.000000, 0.000000, 0.6764
44, 0.000000, 0.400000, 0.000000, 1.000000, 0.7104
45, 0.000000, 0.400000, 0.100000, 0.900000, 0.7108
46, 0.000000, 0.400000, 0.200000, 0.800000, 0.715
47, 0.000000, 0.400000, 0.300000, 0.700000, 0.7166
48, 0.000000, 0.400000, 0.400000, 0.600000, 0.7192
49, 0.000000, 0.400000, 0.500000, 0.500000, 0.71
50, 0.000000, 0.400000, 0.600000, 0.400000, 0.7088
51, 0.000000, 0.400000, 0.700000, 0.300000, 0.7102
52, 0.000000, 0.400000, 0.800000, 0.200000, 0.6944
53, 0.000000, 0.400000, 0.900000, 0.100000, 0.6914
54, 0.000000, 0.400000, 1.000000, 0.000000, 0.672
55, 0.000000, 0.500000, 0.000000, 1.000000, 0.7036
56, 0.000000, 0.500000, 0.100000, 0.900000, 0.7026
57, 0.000000, 0.500000, 0.200000, 0.800000, 0.714
58, 0.000000, 0.500000, 0.300000, 0.700000, 0.7252
59, 0.000000, 0.500000, 0.400000, 0.600000, 0.7132
60, 0.000000, 0.500000, 0.500000, 0.500000, 0.7306
61, 0.000000, 0.500000, 0.600000, 0.400000, 0.7226
62, 0.000000, 0.500000, 0.700000, 0.300000, 0.7008
63, 0.000000, 0.500000, 0.800000, 0.200000, 0.701
64, 0.000000, 0.500000, 0.900000, 0.100000, 0.6968
65, 0.000000, 0.500000, 1.000000, 0.000000, 0.6756
66, 0.000000, 0.600000, 0.000000, 1.000000, 0.7166
67, 0.000000, 0.600000, 0.100000, 0.900000, 0.7128
68, 0.000000, 0.600000, 0.200000, 0.800000, 0.7102
69, 0.000000, 0.600000, 0.300000, 0.700000, 0.722
70, 0.000000, 0.600000, 0.400000, 0.600000, 0.7136
71, 0.000000, 0.600000, 0.500000, 0.500000, 0.7218
72, 0.000000, 0.600000, 0.600000, 0.400000, 0.7226
73, 0.000000, 0.600000, 0.700000, 0.300000, 0.7102
74, 0.000000, 0.600000, 0.800000, 0.200000, 0.6788
75, 0.000000, 0.600000, 0.900000, 0.100000, 0.6912
76, 0.000000, 0.600000, 1.000000, 0.000000, 0.6706
77, 0.000000, 0.700000, 0.000000, 1.000000, 0.699
78, 0.000000, 0.700000, 0.100000, 0.900000, 0.7072
79, 0.000000, 0.700000, 0.200000, 0.800000, 0.7202
80, 0.000000, 0.700000, 0.300000, 0.700000, 0.7156
81, 0.000000, 0.700000, 0.400000, 0.600000, 0.7254
82, 0.000000, 0.700000, 0.500000, 0.500000, 0.7286
83, 0.000000, 0.700000, 0.600000, 0.400000, 0.714
84, 0.000000, 0.700000, 0.700000, 0.300000, 0.7076
85, 0.000000, 0.700000, 0.800000, 0.200000, 0.7016
86, 0.000000, 0.700000, 0.900000, 0.100000, 0.69
87, 0.000000, 0.700000, 1.000000, 0.000000, 0.68
88, 0.000000, 0.800000, 0.000000, 1.000000, 0.6954
89, 0.000000, 0.800000, 0.100000, 0.900000, 0.7096
90, 0.000000, 0.800000, 0.200000, 0.800000, 0.7072
91, 0.000000, 0.800000, 0.300000, 0.700000, 0.7162
92, 0.000000, 0.800000, 0.400000, 0.600000, 0.7194
93, 0.000000, 0.800000, 0.500000, 0.500000, 0.7352
94, 0.000000, 0.800000, 0.600000, 0.400000, 0.7078
95, 0.000000, 0.800000, 0.700000, 0.300000, 0.7214
96, 0.000000, 0.800000, 0.800000, 0.200000, 0.695
97, 0.000000, 0.800000, 0.900000, 0.100000, 0.6756
98, 0.000000, 0.800000, 1.000000, 0.000000, 0.6708
99, 0.000000, 0.900000, 0.000000, 1.000000, 0.7078
100, 0.000000, 0.900000, 0.100000, 0.900000, 0.7204
