ID,p31,p32,p33,p34,p35,p36,winRate
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.679
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.100000, 0.900000, 0.6652
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.800000, 0.6744
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.300000, 0.700000, 0.6714
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.400000, 0.600000, 0.6798
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.500000, 0.6818
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.600000, 0.400000, 0.6706
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.700000, 0.300000, 0.6698
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.800000, 0.200000, 0.678
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.900000, 0.100000, 0.658
10, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.678
11, 0.000000, 0.000000, 0.000000, 0.100000, 0.000000, 0.900000, 0.717
12, 0.000000, 0.000000, 0.000000, 0.100000, 0.100000, 0.800000, 0.7082
13, 0.000000, 0.000000, 0.000000, 0.100000, 0.200000, 0.700000, 0.7046
14, 0.000000, 0.000000, 0.000000, 0.100000, 0.300000, 0.600000, 0.7096
15, 0.000000, 0.000000, 0.000000, 0.100000, 0.400000, 0.500000, 0.7162
16, 0.000000, 0.000000, 0.000000, 0.100000, 0.500000, 0.400000, 0.7074
17, 0.000000, 0.000000, 0.000000, 0.100000, 0.600000, 0.300000, 0.709
18, 0.000000, 0.000000, 0.000000, 0.100000, 0.700000, 0.200000, 0.7106
19, 0.000000, 0.000000, 0.000000, 0.100000, 0.800000, 0.100000, 0.7042
20, 0.000000, 0.000000, 0.000000, 0.100000, 0.900000, 0.000000, 0.7074
21, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.800000, 0.6992
22, 0.000000, 0.000000, 0.000000, 0.200000, 0.100000, 0.700000, 0.6934
23, 0.000000, 0.000000, 0.000000, 0.200000, 0.200000, 0.600000, 0.6934
24, 0.000000, 0.000000, 0.000000, 0.200000, 0.300000, 0.500000, 0.7036
25, 0.000000, 0.000000, 0.000000, 0.200000, 0.400000, 0.400000, 0.7042
26, 0.000000, 0.000000, 0.000000, 0.200000, 0.500000, 0.300000, 0.6846
27, 0.000000, 0.000000, 0.000000, 0.200000, 0.600000, 0.200000, 0.7034
28, 0.000000, 0.000000, 0.000000, 0.200000, 0.700000, 0.100000, 0.7038
29, 0.000000, 0.000000, 0.000000, 0.200000, 0.800000, 0.000000, 0.7008
30, 0.000000, 0.000000, 0.000000, 0.300000, 0.000000, 0.700000, 0.6738
31, 0.000000, 0.000000, 0.000000, 0.300000, 0.100000, 0.600000, 0.6766
32, 0.000000, 0.000000, 0.000000, 0.300000, 0.200000, 0.500000, 0.6698
33, 0.000000, 0.000000, 0.000000, 0.300000, 0.300000, 0.400000, 0.661
34, 0.000000, 0.000000, 0.000000, 0.300000, 0.400000, 0.300000, 0.6748
35, 0.000000, 0.000000, 0.000000, 0.300000, 0.500000, 0.200000, 0.6586
36, 0.000000, 0.000000, 0.000000, 0.300000, 0.600000, 0.100000, 0.6604
37, 0.000000, 0.000000, 0.000000, 0.300000, 0.700000, 0.000000, 0.6644
38, 0.000000, 0.000000, 0.000000, 0.400000, 0.000000, 0.600000, 0.6334
