playerID,opponentID,gameID,roundID,numSelfTurnsToKnock,numOppTurnsToKnock,numSelfFaceUpCardsDrawn,numOppFaceUpCardsDrawn,numSelfMeldsAtKnock,numSelfRunMeldsAtKnock,numSelfRankMeldsAtKnock,numOppMeldsAtKnock,numOppRunMeldsAtKnock,numOppRankMeldsAtKnock
0,1,13,94,3,0,0,0,3,3,0,1,1,0
0,1,13,95,4,0,3,0,2,1,1,2,1,1
0,1,14,96,11,0,1,2,2,2,0,1,1,0
0,1,14,97,4,0,2,0,2,1,1,0,0,0
0,1,14,98,9,0,1,2,2,1,1,3,2,1
0,1,14,99,14,0,3,1,2,2,0,1,1,0
0,1,14,100,11,0,0,0,2,0,2,1,1,0
0,1,15,101,5,0,1,2,2,1,1,2,1,1
0,1,15,102,4,0,0,0,2,1,1,1,1,0
0,1,15,103,10,0,2,1,2,2,0,2,1,1
0,1,15,104,15,0,2,3,2,0,2,2,1,1
0,1,15,105,9,0,1,0,2,0,2,1,1,0
0,1,15,106,13,0,1,2,2,1,1,2,1,1
0,1,15,107,11,0,2,1,2,2,0,1,1,0
0,1,15,108,3,0,0,0,2,1,1,2,0,2
0,1,15,109,10,0,3,2,2,0,2,2,1,1
0,1,15,110,8,0,1,2,3,1,2,1,1,0
0,1,15,111,7,0,2,3,2,1,1,2,0,2
0,1,15,112,7,0,1,0,2,2,0,2,0,2
0,1,16,113,4,0,1,2,2,0,2,1,0,1
0,1,16,114,9,0,0,0,3,2,1,1,1,0
0,1,16,115,4,0,1,1,2,0,2,2,0,2
0,1,16,116,10,0,1,0,2,1,1,0,0,0
0,1,16,117,8,0,2,1,2,1,1,2,2,0
0,1,16,118,7,0,1,1,3,2,1,2,0,2
0,1,16,119,7,0,2,0,2,1,1,2,1,1
0,1,16,120,9,0,1,3,2,2,0,1,1,0
0,1,16,121,11,0,0,3,2,0,2,3,1,2
0,1,16,122,13,0,2,2,2,0,2,2,1,1
0,1,17,123,8,0,2,0,2,0,2,0,0,0
0,1,17,124,10,0,1,2,2,2,0,3,2,1
0,1,17,125,10,0,1,0,3,2,1,2,1,1
0,1,17,126,10,0,1,1,2,1,1,2,2,0
0,1,17,127,15,0,2,1,2,0,2,2,1,1
0,1,17,128,8,0,1,0,2,1,1,0,0,0
0,1,18,129,4,0,0,1,2,2,0,2,1,1
0,1,18,130,10,0,2,1,2,2,0,2,1,1
0,1,18,131,2,0,0,2,2,1,1,2,1,1
0,1,18,132,8,0,1,1,2,1,1,2,2,0
0,1,18,133,0,11,1,3,2,0,2,3,2,1
0,1,18,134,6,0,1,0,2,0,2,0,0,0
0,1,19,135,9,0,4,2,3,0,3,2,0,2
0,1,19,136,11,0,2,3,2,1,1,3,3,0
0,1,19,137,11,0,2,1,2,1,1,1,1,0
0,1,19,138,14,0,1,2,2,2,0,2,1,1
0,1,19,139,16,0,2,3,2,2,0,2,1,1
0,1,20,140,7,0,1,1,2,2,0,2,2,0
0,1,20,141,9,0,1,1,2,2,0,2,0,2
0,1,20,142,10,0,2,0,2,2,0,2,1,1
0,1,20,143,7,0,3,1,2,1,1,2,2,0
0,1,20,144,8,0,2,0,2,0,2,1,0,1
0,1,21,145,8,0,2,0,3,2,1,2,0,2
0,1,21,146,4,0,0,1,2,2,0,2,1,1
0,1,21,147,12,0,1,0,2,1,1,1,1,0
