Using command-line argument: 3
LinearDeadwoodPenaltyHE ParamLists are ready.
numIndividuals: 187. Correct number is: 187
=============== runExhaustiveTest ===============
gamesPerIndividual: 10000
----------------------------------
Progress:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 
Elapsed time (m): 24.519083333333334
----------
Max win rate: 0.7146
Corresponding max params at index 11: [0.5, 0.4, 0.1, 0.1, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.0, 2.75, 0.01, 2.0, 10.0, 0.0, 6.0, 8.0, 14.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]
----------
Min win rate: 0.4784
Corresponding min params at index 33: [0.5, 0.4, 0.1, 0.1, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.1, 4.0, 0.01, 2.0, 10.0, 0.0, 6.0, 8.0, 14.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]
----------
Average win rate: 0.5405251336898397
Standard deviation of win rates: 0.06896773917470463
----------------------------------------
Table of results: 
ID, p22, p23, winRate
83, 0.400000, 3.750000, 0.4956
84, 0.400000, 4.000000, 0.4892
85, 0.500000, 0.000000, 0.6447
86, 0.500000, 0.250000, 0.586
87, 0.500000, 0.500000, 0.5576
88, 0.500000, 0.750000, 0.5427
89, 0.500000, 1.000000, 0.5309
90, 0.500000, 1.250000, 0.5195
91, 0.500000, 1.500000, 0.514
92, 0.500000, 1.750000, 0.5053
93, 0.500000, 2.000000, 0.5137
94, 0.500000, 2.250000, 0.4978
95, 0.500000, 2.500000, 0.4969
96, 0.500000, 2.750000, 0.4931
97, 0.500000, 3.000000, 0.5009
98, 0.500000, 3.250000, 0.4967
99, 0.500000, 3.500000, 0.4964
100, 0.500000, 3.750000, 0.5007
101, 0.500000, 4.000000, 0.4918
102, 0.600000, 0.000000, 0.6402
103, 0.600000, 0.250000, 0.5729
104, 0.600000, 0.500000, 0.55
105, 0.600000, 0.750000, 0.5429
106, 0.600000, 1.000000, 0.5209
107, 0.600000, 1.250000, 0.5109
108, 0.600000, 1.500000, 0.5175
109, 0.600000, 1.750000, 0.5072
110, 0.600000, 2.000000, 0.5174
111, 0.600000, 2.250000, 0.5069
112, 0.600000, 2.500000, 0.4985
113, 0.600000, 2.750000, 0.5056
114, 0.600000, 3.000000, 0.4967
115, 0.600000, 3.250000, 0.5045
116, 0.600000, 3.500000, 0.491
117, 0.600000, 3.750000, 0.4933
118, 0.600000, 4.000000, 0.5038
119, 0.700000, 0.000000, 0.6197
120, 0.700000, 0.250000, 0.5605
121, 0.700000, 0.500000, 0.5484
122, 0.700000, 0.750000, 0.5326
123, 0.700000, 1.000000, 0.5269
124, 0.700000, 1.250000, 0.5106
125, 0.700000, 1.500000, 0.5245
126, 0.700000, 1.750000, 0.5093
127, 0.700000, 2.000000, 0.5064
128, 0.700000, 2.250000, 0.5035
129, 0.700000, 2.500000, 0.5126
130, 0.700000, 2.750000, 0.5101
131, 0.700000, 3.000000, 0.5003
132, 0.700000, 3.250000, 0.5042
133, 0.700000, 3.500000, 0.5033
134, 0.700000, 3.750000, 0.5036
135, 0.700000, 4.000000, 0.5
136, 0.800000, 0.000000, 0.5998
137, 0.800000, 0.250000, 0.5504
138, 0.800000, 0.500000, 0.538
139, 0.800000, 0.750000, 0.5323
140, 0.800000, 1.000000, 0.5231
141, 0.800000, 1.250000, 0.5236
142, 0.800000, 1.500000, 0.5236
143, 0.800000, 1.750000, 0.5087
144, 0.800000, 2.000000, 0.5013
145, 0.800000, 2.250000, 0.509
146, 0.800000, 2.500000, 0.499
147, 0.800000, 2.750000, 0.5112
148, 0.800000, 3.000000, 0.5079
149, 0.800000, 3.250000, 0.5035
150, 0.800000, 3.500000, 0.502
151, 0.800000, 3.750000, 0.5029
152, 0.800000, 4.000000, 0.4973
153, 0.900000, 0.000000, 0.5933
154, 0.900000, 0.250000, 0.5422
155, 0.900000, 0.500000, 0.5237
156, 0.900000, 0.750000, 0.5154
157, 0.900000, 1.000000, 0.5097
158, 0.900000, 1.250000, 0.5188
159, 0.900000, 1.500000, 0.5083
160, 0.900000, 1.750000, 0.516
161, 0.900000, 2.000000, 0.5035
162, 0.900000, 2.250000, 0.5062
163, 0.900000, 2.500000, 0.5141
164, 0.900000, 2.750000, 0.5099
165, 0.900000, 3.000000, 0.5095
166, 0.900000, 3.250000, 0.5146
167, 0.900000, 3.500000, 0.4959
168, 0.900000, 3.750000, 0.5092
169, 0.900000, 4.000000, 0.5159
170, 1.000000, 0.000000, 0.5713
171, 1.000000, 0.250000, 0.5292
172, 1.000000, 0.500000, 0.5227
173, 1.000000, 0.750000, 0.5447
174, 1.000000, 1.000000, 0.5181
175, 1.000000, 1.250000, 0.5164
176, 1.000000, 1.500000, 0.5217
177, 1.000000, 1.750000, 0.5121
178, 1.000000, 2.000000, 0.5069
179, 1.000000, 2.250000, 0.517
180, 1.000000, 2.500000, 0.5047
181, 1.000000, 2.750000, 0.5099
182, 1.000000, 3.000000, 0.5059
183, 1.000000, 3.250000, 0.507
184, 1.000000, 3.500000, 0.5087
185, 1.000000, 3.750000, 0.5041
186, 1.000000, 4.000000, 0.503
Learned parameters: 
22: 0.0
23: 2.75
