ID,p3,p4,p5,p6,winRate
87, 0.000000, 0.700000, 1.000000, 0.000000, 0.6504
88, 0.000000, 0.800000, 0.000000, 1.000000, 0.6916
89, 0.000000, 0.800000, 0.100000, 0.900000, 0.6997
90, 0.000000, 0.800000, 0.200000, 0.800000, 0.6989
91, 0.000000, 0.800000, 0.300000, 0.700000, 0.6994
92, 0.000000, 0.800000, 0.400000, 0.600000, 0.71
93, 0.000000, 0.800000, 0.500000, 0.500000, 0.7025
94, 0.000000, 0.800000, 0.600000, 0.400000, 0.6894
95, 0.000000, 0.800000, 0.700000, 0.300000, 0.6993
96, 0.000000, 0.800000, 0.800000, 0.200000, 0.6862
97, 0.000000, 0.800000, 0.900000, 0.100000, 0.6751
98, 0.000000, 0.800000, 1.000000, 0.000000, 0.6695
99, 0.000000, 0.900000, 0.000000, 1.000000, 0.6869
100, 0.000000, 0.900000, 0.100000, 0.900000, 0.7041
101, 0.000000, 0.900000, 0.200000, 0.800000, 0.7032
102, 0.000000, 0.900000, 0.300000, 0.700000, 0.7095
103, 0.000000, 0.900000, 0.400000, 0.600000, 0.7127
104, 0.000000, 0.900000, 0.500000, 0.500000, 0.7082
105, 0.000000, 0.900000, 0.600000, 0.400000, 0.695
106, 0.000000, 0.900000, 0.700000, 0.300000, 0.6948
107, 0.000000, 0.900000, 0.800000, 0.200000, 0.677
108, 0.000000, 0.900000, 0.900000, 0.100000, 0.6829
109, 0.000000, 0.900000, 1.000000, 0.000000, 0.6516
110, 0.000000, 1.000000, 0.000000, 1.000000, 0.6829
111, 0.000000, 1.000000, 0.100000, 0.900000, 0.7044
112, 0.000000, 1.000000, 0.200000, 0.800000, 0.7108
113, 0.000000, 1.000000, 0.300000, 0.700000, 0.6995
114, 0.000000, 1.000000, 0.400000, 0.600000, 0.7092
115, 0.000000, 1.000000, 0.500000, 0.500000, 0.7109
116, 0.000000, 1.000000, 0.600000, 0.400000, 0.698
117, 0.000000, 1.000000, 0.700000, 0.300000, 0.6847
118, 0.000000, 1.000000, 0.800000, 0.200000, 0.6778
119, 0.000000, 1.000000, 0.900000, 0.100000, 0.673
120, 0.000000, 1.000000, 1.000000, 0.000000, 0.66
121, 0.050000, 0.000000, 0.000000, 1.000000, 0.6888
122, 0.050000, 0.000000, 0.100000, 0.900000, 0.6867
123, 0.050000, 0.000000, 0.200000, 0.800000, 0.6892
124, 0.050000, 0.000000, 0.300000, 0.700000, 0.6992
125, 0.050000, 0.000000, 0.400000, 0.600000, 0.7008
126, 0.050000, 0.000000, 0.500000, 0.500000, 0.7057
127, 0.050000, 0.000000, 0.600000, 0.400000, 0.6999
128, 0.050000, 0.000000, 0.700000, 0.300000, 0.6929
129, 0.050000, 0.000000, 0.800000, 0.200000, 0.6791
130, 0.050000, 0.000000, 0.900000, 0.100000, 0.6694
131, 0.050000, 0.000000, 1.000000, 0.000000, 0.6598
132, 0.050000, 0.100000, 0.000000, 1.000000, 0.7008
133, 0.050000, 0.100000, 0.100000, 0.900000, 0.6955
134, 0.050000, 0.100000, 0.200000, 0.800000, 0.7034
135, 0.050000, 0.100000, 0.300000, 0.700000, 0.7064
136, 0.050000, 0.100000, 0.400000, 0.600000, 0.7125
137, 0.050000, 0.100000, 0.500000, 0.500000, 0.7123
138, 0.050000, 0.100000, 0.600000, 0.400000, 0.6973
139, 0.050000, 0.100000, 0.700000, 0.300000, 0.695
140, 0.050000, 0.100000, 0.800000, 0.200000, 0.6864
141, 0.050000, 0.100000, 0.900000, 0.100000, 0.6649
142, 0.050000, 0.100000, 1.000000, 0.000000, 0.6567
