ID,p22,p23,winRate
0,0.0,0.0,0.6818
1,0.0,0.25,0.7
2,0.0,0.5,0.6966
3,0.0,0.75,0.6914
4,0.0,1.0,0.685
5,0.0,1.25,0.6986
6,0.0,1.5,0.6966
7,0.0,1.75,0.6896
8,0.0,2.0,0.6916
9,0.0,2.25,0.7062
10,0.0,2.5,0.6912
11,0.0,2.75,0.6924
12,0.0,3.0,0.6806
13,0.0,3.25,0.6906
14,0.0,3.5,0.7040000000000001
15,0.0,3.75,0.6926
16,0.0,4.0,0.7070000000000001
17,0.1,0.0,0.7178
18,0.1,0.25,0.7246
19,0.1,0.5,0.7246
20,0.1,0.75,0.7258
21,0.1,1.0,0.7332
22,0.1,1.25,0.7390000000000001
23,0.1,1.5,0.7242
24,0.1,1.75,0.7358
25,0.1,2.0,0.7344
26,0.1,2.25,0.7284
27,0.1,2.5,0.7358
28,0.1,2.75,0.7346
29,0.1,3.0,0.7374
30,0.1,3.25,0.7392
31,0.1,3.5,0.728
32,0.1,3.75,0.7304
33,0.1,4.0,0.7374
34,0.2,0.0,0.7094
35,0.2,0.25,0.733
36,0.2,0.5,0.7170000000000001
37,0.2,0.75,0.7264
38,0.2,1.0,0.7398
39,0.2,1.25,0.7436
40,0.2,1.5,0.7494
41,0.2,1.75,0.7354
42,0.2,2.0,0.7334
43,0.2,2.25,0.745
44,0.2,2.5,0.7364
45,0.2,2.75,0.7288
46,0.2,3.0,0.7378
47,0.2,3.25,0.7390000000000001
48,0.2,3.5,0.7424
49,0.2,3.75,0.7302
50,0.2,4.0,0.7312
51,0.3,0.0,0.7198
52,0.3,0.25,0.7438
53,0.3,0.5,0.7404
54,0.3,0.75,0.7364
55,0.3,1.0,0.7308
56,0.3,1.25,0.7314
57,0.3,1.5,0.7256
58,0.3,1.75,0.7364
59,0.3,2.0,0.7326
60,0.3,2.25,0.7314
61,0.3,2.5,0.7316
62,0.3,2.75,0.7418
63,0.3,3.0,0.7376
64,0.3,3.25,0.7258
65,0.3,3.5,0.7282
66,0.3,3.75,0.7362
67,0.3,4.0,0.7368
68,0.4,0.0,0.7226
69,0.4,0.25,0.7324
70,0.4,0.5,0.7508
71,0.4,0.75,0.7412
72,0.4,1.0,0.727
73,0.4,1.25,0.7442
74,0.4,1.5,0.7394
75,0.4,1.75,0.742
76,0.4,2.0,0.7298
77,0.4,2.25,0.7356
78,0.4,2.5,0.7432
79,0.4,2.75,0.7308
80,0.4,3.0,0.7416
81,0.4,3.25,0.73
82,0.4,3.5,0.7252
83,0.4,3.75,0.7274
84,0.4,4.0,0.737
85,0.5,0.0,0.7278
86,0.5,0.25,0.7348
87,0.5,0.5,0.7422
88,0.5,0.75,0.7196
89,0.5,1.0,0.7452
90,0.5,1.25,0.727
91,0.5,1.5,0.7464
92,0.5,1.75,0.7388
93,0.5,2.0,0.7346
94,0.5,2.25,0.7458
95,0.5,2.5,0.7252
96,0.5,2.75,0.7296
97,0.5,3.0,0.7404
98,0.5,3.25,0.7438
99,0.5,3.5,0.73
100,0.5,3.75,0.7156
101,0.5,4.0,0.73
102,0.6,0.0,0.718
103,0.6,0.25,0.738
104,0.6,0.5,0.7368
105,0.6,0.75,0.7366
106,0.6,1.0,0.7386
107,0.6,1.25,0.7294
108,0.6,1.5,0.7364
109,0.6,1.75,0.738
110,0.6,2.0,0.7384
111,0.6,2.25,0.7428
112,0.6,2.5,0.7378
113,0.6,2.75,0.7264
114,0.6,3.0,0.7264
115,0.6,3.25,0.7328
116,0.6,3.5,0.7388
117,0.6,3.75,0.7372
118,0.6,4.0,0.7332
119,0.7,0.0,0.7176
120,0.7,0.25,0.7386
121,0.7,0.5,0.737
122,0.7,0.75,0.727
123,0.7,1.0,0.7378
124,0.7,1.25,0.7328
125,0.7,1.5,0.7348
126,0.7,1.75,0.7278
127,0.7,2.0,0.7434
128,0.7,2.25,0.7394
129,0.7,2.5,0.7412
130,0.7,2.75,0.7306
131,0.7,3.0,0.7312
132,0.7,3.25,0.7332
133,0.7,3.5,0.7332
134,0.7,3.75,0.743
135,0.7,4.0,0.7376
136,0.8,0.0,0.7240000000000001
137,0.8,0.25,0.7282
138,0.8,0.5,0.7336
139,0.8,0.75,0.7314
140,0.8,1.0,0.7338
141,0.8,1.25,0.7266
142,0.8,1.5,0.7306
143,0.8,1.75,0.7326
144,0.8,2.0,0.731
145,0.8,2.25,0.7452
146,0.8,2.5,0.7372
147,0.8,2.75,0.7336
148,0.8,3.0,0.7384
149,0.8,3.25,0.7384
150,0.8,3.5,0.7438
151,0.8,3.75,0.7342
152,0.8,4.0,0.727
153,0.9,0.0,0.7318
154,0.9,0.25,0.7342
155,0.9,0.5,0.7240000000000001
156,0.9,0.75,0.737
157,0.9,1.0,0.7316
158,0.9,1.25,0.7258
159,0.9,1.5,0.7296
160,0.9,1.75,0.7372
161,0.9,2.0,0.7316
162,0.9,2.25,0.7264
163,0.9,2.5,0.7352
164,0.9,2.75,0.72
165,0.9,3.0,0.7348
166,0.9,3.25,0.7424
167,0.9,3.5,0.7368
168,0.9,3.75,0.73
169,0.9,4.0,0.7316
170,1.0,0.0,0.725
171,1.0,0.25,0.732
172,1.0,0.5,0.7478
173,1.0,0.75,0.7358
174,1.0,1.0,0.7322
175,1.0,1.25,0.7416
176,1.0,1.5,0.7346
177,1.0,1.75,0.7306
178,1.0,2.0,0.7264
179,1.0,2.25,0.7308
180,1.0,2.5,0.7338
181,1.0,2.75,0.7208
182,1.0,3.0,0.7404
183,1.0,3.25,0.722
184,1.0,3.5,0.7388
185,1.0,3.75,0.7290000000000001
186,1.0,4.0,0.7290000000000001
