ID,p3,p4,p5,p6,winRate
0,0.0,0.0,0.0,1.0,0.7228
1,0.0,0.0,0.1,0.9,0.7338
2,0.0,0.0,0.2,0.8,0.7326
3,0.0,0.0,0.3,0.7,0.737
4,0.0,0.0,0.4,0.6,0.7286
5,0.0,0.0,0.5,0.5,0.7338
6,0.0,0.0,0.6,0.4,0.7326
7,0.0,0.0,0.7,0.3,0.7292
8,0.0,0.0,0.8,0.2,0.7238
9,0.0,0.0,0.9,0.1,0.74
10,0.0,0.0,1.0,0.0,0.7336
11,0.0,0.1,0.0,1.0,0.745
12,0.0,0.1,0.1,0.9,0.7292
13,0.0,0.1,0.2,0.8,0.7366
14,0.0,0.1,0.3,0.7,0.7468
15,0.0,0.1,0.4,0.6,0.7362
16,0.0,0.1,0.5,0.5,0.7352
17,0.0,0.1,0.6,0.4,0.7328
18,0.0,0.1,0.7,0.3,0.7372
19,0.0,0.1,0.8,0.2,0.7338
20,0.0,0.1,0.9,0.1,0.732
21,0.0,0.1,1.0,0.0,0.7302
22,0.0,0.2,0.0,1.0,0.7346
23,0.0,0.2,0.1,0.9,0.74
24,0.0,0.2,0.2,0.8,0.7346
25,0.0,0.2,0.3,0.7,0.7326
26,0.0,0.2,0.4,0.6,0.737
27,0.0,0.2,0.5,0.5,0.728
28,0.0,0.2,0.6,0.4,0.74
29,0.0,0.2,0.7,0.3,0.7308
30,0.0,0.2,0.8,0.2,0.7412
31,0.0,0.2,0.9,0.1,0.733
32,0.0,0.2,1.0,0.0,0.725
33,0.0,0.3,0.0,1.0,0.742
34,0.0,0.3,0.1,0.9,0.7354
35,0.0,0.3,0.2,0.8,0.736
36,0.0,0.3,0.3,0.7,0.7356
37,0.0,0.3,0.4,0.6,0.7436
38,0.0,0.3,0.5,0.5,0.7298
39,0.0,0.3,0.6,0.4,0.727
40,0.0,0.3,0.7,0.3,0.733
41,0.0,0.3,0.8,0.2,0.7328
42,0.0,0.3,0.9,0.1,0.7438
43,0.0,0.3,1.0,0.0,0.7196
44,0.0,0.4,0.0,1.0,0.7304
45,0.0,0.4,0.1,0.9,0.7366
46,0.0,0.4,0.2,0.8,0.7436
47,0.0,0.4,0.3,0.7,0.74
48,0.0,0.4,0.4,0.6,0.7362
49,0.0,0.4,0.5,0.5,0.7408
50,0.0,0.4,0.6,0.4,0.7332
51,0.0,0.4,0.7,0.3,0.7414
52,0.0,0.4,0.8,0.2,0.733
53,0.0,0.4,0.9,0.1,0.7388
54,0.0,0.4,1.0,0.0,0.7142
55,0.0,0.5,0.0,1.0,0.7342
56,0.0,0.5,0.1,0.9,0.7356
57,0.0,0.5,0.2,0.8,0.7412
58,0.0,0.5,0.3,0.7,0.7218
59,0.0,0.5,0.4,0.6,0.7432
60,0.0,0.5,0.5,0.5,0.7358
61,0.0,0.5,0.6,0.4,0.7392
62,0.0,0.5,0.7,0.3,0.7344
63,0.0,0.5,0.8,0.2,0.7474
64,0.0,0.5,0.9,0.1,0.7266
65,0.0,0.5,1.0,0.0,0.7348
66,0.0,0.6,0.0,1.0,0.7296
67,0.0,0.6,0.1,0.9,0.7436
68,0.0,0.6,0.2,0.8,0.7282
69,0.0,0.6,0.3,0.7,0.7316
70,0.0,0.6,0.4,0.6,0.7344
71,0.0,0.6,0.5,0.5,0.7324
72,0.0,0.6,0.6,0.4,0.7378
73,0.0,0.6,0.7,0.3,0.7242
74,0.0,0.6,0.8,0.2,0.7292
75,0.0,0.6,0.9,0.1,0.7354
76,0.0,0.6,1.0,0.0,0.7348
77,0.0,0.7,0.0,1.0,0.7306
78,0.0,0.7,0.1,0.9,0.7432
79,0.0,0.7,0.2,0.8,0.7312
80,0.0,0.7,0.3,0.7,0.7492
81,0.0,0.7,0.4,0.6,0.7326
82,0.0,0.7,0.5,0.5,0.7404
83,0.0,0.7,0.6,0.4,0.7376
84,0.0,0.7,0.7,0.3,0.747
85,0.0,0.7,0.8,0.2,0.7258
86,0.0,0.7,0.9,0.1,0.735
87,0.0,0.7,1.0,0.0,0.728
88,0.0,0.8,0.0,1.0,0.7442
89,0.0,0.8,0.1,0.9,0.7340000000000001
90,0.0,0.8,0.2,0.8,0.731
91,0.0,0.8,0.3,0.7,0.7398
92,0.0,0.8,0.4,0.6,0.7396
93,0.0,0.8,0.5,0.5,0.7258
94,0.0,0.8,0.6,0.4,0.7344
95,0.0,0.8,0.7,0.3,0.736
96,0.0,0.8,0.8,0.2,0.728
97,0.0,0.8,0.9,0.1,0.7406
98,0.0,0.8,1.0,0.0,0.74
99,0.0,0.9,0.0,1.0,0.737
100,0.0,0.9,0.1,0.9,0.7526
101,0.0,0.9,0.2,0.8,0.7476
