ID,p0,p1,p2,winRate
0,0.0,0.5,0.5,0.6998
1,0.0,0.6,0.4,0.7114
2,0.0,0.7,0.3,0.7028
3,0.0,0.8,0.2,0.7068
4,0.0,0.9,0.1,0.7064
5,0.0,1.0,0.0,0.6994
6,0.1,0.5,0.4,0.6952
7,0.1,0.6,0.3,0.6964
8,0.1,0.7,0.2,0.7024
9,0.1,0.8,0.1,0.6974
10,0.1,0.9,0.0,0.6914
11,0.2,0.4,0.4,0.713
12,0.2,0.5,0.3,0.6988
13,0.2,0.6,0.2,0.7194
14,0.2,0.7,0.1,0.6824
15,0.2,0.8,0.0,0.687
16,0.3,0.4,0.3,0.7094
17,0.3,0.5,0.2,0.7172
18,0.3,0.6,0.1,0.7088
19,0.3,0.7,0.0,0.7146
20,0.4,0.3,0.3,0.7242
21,0.4,0.4,0.2,0.7194
22,0.4,0.5,0.1,0.7108
23,0.4,0.6,0.0,0.7192
24,0.5,0.3,0.2,0.7086
25,0.5,0.4,0.1,0.7174
26,0.5,0.5,0.0,0.7078
27,0.6,0.2,0.2,0.7022
28,0.6,0.3,0.1,0.6970000000000001
29,0.6,0.4,0.0,0.7066
30,0.7,0.2,0.1,0.7056
31,0.7,0.3,0.0,0.7062
32,0.8,0.1,0.1,0.706
33,1.0,0.0,0.0,0.7008
