ID,p3,p4,p5,p6,winRate
137,0.05,0.1,0.5,0.5,0.6938
138,0.05,0.1,0.6,0.4,0.6814
139,0.05,0.1,0.7,0.3,0.6966
140,0.05,0.1,0.8,0.2,0.6926
141,0.05,0.1,0.9,0.1,0.695
142,0.05,0.1,1.0,0.0,0.675
143,0.05,0.2,0.0,1.0,0.6742
144,0.05,0.2,0.1,0.9,0.7028
145,0.05,0.2,0.2,0.8,0.6922
146,0.05,0.2,0.3,0.7,0.6966
147,0.05,0.2,0.4,0.6,0.6988
148,0.05,0.2,0.5,0.5,0.6998
149,0.05,0.2,0.6,0.4,0.6988
150,0.05,0.2,0.7,0.3,0.6968
151,0.05,0.2,0.8,0.2,0.6948
152,0.05,0.2,0.9,0.1,0.6948
153,0.05,0.2,1.0,0.0,0.6692
154,0.05,0.3,0.0,1.0,0.6842
155,0.05,0.3,0.1,0.9,0.6966
156,0.05,0.3,0.2,0.8,0.6954
157,0.05,0.3,0.3,0.7,0.6932
158,0.05,0.3,0.4,0.6,0.7016
159,0.05,0.3,0.5,0.5,0.6968
160,0.05,0.3,0.6,0.4,0.7016
161,0.05,0.3,0.7,0.3,0.6952
162,0.05,0.3,0.8,0.2,0.6836
163,0.05,0.3,0.9,0.1,0.7
164,0.05,0.3,1.0,0.0,0.6829999999999999
165,0.05,0.4,0.0,1.0,0.6894
166,0.05,0.4,0.1,0.9,0.7054
167,0.05,0.4,0.2,0.8,0.7088
168,0.05,0.4,0.3,0.7,0.7038
169,0.05,0.4,0.4,0.6,0.6944
170,0.05,0.4,0.5,0.5,0.7094
171,0.05,0.4,0.6,0.4,0.7076
172,0.05,0.4,0.7,0.3,0.7136
173,0.05,0.4,0.8,0.2,0.6896
174,0.05,0.4,0.9,0.1,0.6964
175,0.05,0.4,1.0,0.0,0.6702
176,0.05,0.5,0.0,1.0,0.7016
177,0.05,0.5,0.1,0.9,0.691
178,0.05,0.5,0.2,0.8,0.6998
179,0.05,0.5,0.3,0.7,0.7122
180,0.05,0.5,0.4,0.6,0.7146
181,0.05,0.5,0.5,0.5,0.7098
182,0.05,0.5,0.6,0.4,0.7014
183,0.05,0.5,0.7,0.3,0.7056
184,0.05,0.5,0.8,0.2,0.7082
185,0.05,0.5,0.9,0.1,0.6916
186,0.05,0.5,1.0,0.0,0.6748
187,0.05,0.6,0.0,1.0,0.6966
188,0.05,0.6,0.1,0.9,0.6952
189,0.05,0.6,0.2,0.8,0.7222
190,0.05,0.6,0.3,0.7,0.7006
191,0.05,0.6,0.4,0.6,0.7042
192,0.05,0.6,0.5,0.5,0.7214
193,0.05,0.6,0.6,0.4,0.7102
194,0.05,0.6,0.7,0.3,0.7088
195,0.05,0.6,0.8,0.2,0.6984
196,0.05,0.6,0.9,0.1,0.7002
197,0.05,0.6,1.0,0.0,0.6988
198,0.05,0.7,0.0,1.0,0.7076
199,0.05,0.7,0.1,0.9,0.7054
200,0.05,0.7,0.2,0.8,0.7006
201,0.05,0.7,0.3,0.7,0.7170000000000001
202,0.05,0.7,0.4,0.6,0.7132
203,0.05,0.7,0.5,0.5,0.7096
204,0.05,0.7,0.6,0.4,0.705
205,0.05,0.7,0.7,0.3,0.7108
206,0.05,0.7,0.8,0.2,0.7056
207,0.05,0.7,0.9,0.1,0.6976
208,0.05,0.7,1.0,0.0,0.6844
209,0.05,0.8,0.0,1.0,0.7022
210,0.05,0.8,0.1,0.9,0.6916
211,0.05,0.8,0.2,0.8,0.7104
212,0.05,0.8,0.3,0.7,0.7104
213,0.05,0.8,0.4,0.6,0.7132
214,0.05,0.8,0.5,0.5,0.725
215,0.05,0.8,0.6,0.4,0.7066
216,0.05,0.8,0.7,0.3,0.7066
217,0.05,0.8,0.8,0.2,0.6986
218,0.05,0.8,0.9,0.1,0.6956
219,0.05,0.8,1.0,0.0,0.6804
220,0.05,0.9,0.0,1.0,0.705
221,0.05,0.9,0.1,0.9,0.6992
222,0.05,0.9,0.2,0.8,0.7122
223,0.05,0.9,0.3,0.7,0.7166
224,0.05,0.9,0.4,0.6,0.7186
225,0.05,0.9,0.5,0.5,0.7096
226,0.05,0.9,0.6,0.4,0.7274
227,0.05,0.9,0.7,0.3,0.713
228,0.05,0.9,0.8,0.2,0.7146
229,0.05,0.9,0.9,0.1,0.6970000000000001
230,0.05,0.9,1.0,0.0,0.6768
231,0.05,1.0,0.0,1.0,0.6942
232,0.05,1.0,0.1,0.9,0.7046
233,0.05,1.0,0.2,0.8,0.7082
234,0.05,1.0,0.3,0.7,0.7098
235,0.05,1.0,0.4,0.6,0.715
236,0.05,1.0,0.5,0.5,0.7192
237,0.05,1.0,0.6,0.4,0.7164
238,0.05,1.0,0.7,0.3,0.7028
239,0.05,1.0,0.8,0.2,0.7102
240,0.05,1.0,0.9,0.1,0.706
241,0.05,1.0,1.0,0.0,0.6940000000000001
242,0.1,0.0,0.0,1.0,0.6934
243,0.1,0.0,0.1,0.9,0.6884
244,0.1,0.0,0.2,0.8,0.6990000000000001
245,0.1,0.0,0.3,0.7,0.6970000000000001
246,0.1,0.0,0.4,0.6,0.6978
247,0.1,0.0,0.5,0.5,0.6956
248,0.1,0.0,0.6,0.4,0.6888
249,0.1,0.0,0.7,0.3,0.6874
