ID,p3,p4,p5,p6,winRate
0,0.0,0.0,0.0,1.0,0.7256
1,0.0,0.0,0.1,0.9,0.7346
2,0.0,0.0,0.2,0.8,0.7326
3,0.0,0.0,0.3,0.7,0.7288
4,0.0,0.0,0.4,0.6,0.7312
5,0.0,0.0,0.5,0.5,0.7392
6,0.0,0.0,0.6,0.4,0.7252
7,0.0,0.0,0.7,0.3,0.7322
8,0.0,0.0,0.8,0.2,0.7298
9,0.0,0.0,0.9,0.1,0.7344
10,0.0,0.0,1.0,0.0,0.7344
11,0.0,0.1,0.0,1.0,0.7328
12,0.0,0.1,0.1,0.9,0.7286
13,0.0,0.1,0.2,0.8,0.732
14,0.0,0.1,0.3,0.7,0.7276
15,0.0,0.1,0.4,0.6,0.7346
16,0.0,0.1,0.5,0.5,0.7428
17,0.0,0.1,0.6,0.4,0.745
18,0.0,0.1,0.7,0.3,0.7402
19,0.0,0.1,0.8,0.2,0.7354
20,0.0,0.1,0.9,0.1,0.743
21,0.0,0.1,1.0,0.0,0.7490000000000001
22,0.0,0.2,0.0,1.0,0.7262
23,0.0,0.2,0.1,0.9,0.7336
24,0.0,0.2,0.2,0.8,0.7218
25,0.0,0.2,0.3,0.7,0.7262
26,0.0,0.2,0.4,0.6,0.74
27,0.0,0.2,0.5,0.5,0.7328
28,0.0,0.2,0.6,0.4,0.7376
29,0.0,0.2,0.7,0.3,0.7444
30,0.0,0.2,0.8,0.2,0.7376
31,0.0,0.2,0.9,0.1,0.7302
32,0.0,0.2,1.0,0.0,0.7472
33,0.0,0.3,0.0,1.0,0.7374
34,0.0,0.3,0.1,0.9,0.7344
35,0.0,0.3,0.2,0.8,0.7406
36,0.0,0.3,0.3,0.7,0.7392
37,0.0,0.3,0.4,0.6,0.7456
38,0.0,0.3,0.5,0.5,0.7394
39,0.0,0.3,0.6,0.4,0.7384
40,0.0,0.3,0.7,0.3,0.7282
41,0.0,0.3,0.8,0.2,0.7262
